盖,蓋
盗,盜
盘,盤
眬,矓
睁,睜
睐,睞
瞒,瞞
瞩,矚
矫,矯
矶,磯
矾,礬
矿,礦
码,碼
砖,磚
砚,硯
砺,礪
砾,礫
础,礎
硕,碩
确,確
硷,礆
碍,礙
礼,禮
祯,禎
祷,禱
祸,禍
禀,稟
禄,祿
禅,禪
离,離
秃,禿
秆,稈
种,種
积,積
称,稱
秽,穢
税,稅
稣,穌
稳,穩
穑,穡
穷,窮
窃,竊
窍,竅
窑,窯
窜,竄
窝,窩
窥,窺
窦,竇
竖,竪
竞,競
笃,篤
笋,筍
笔,筆
笺,箋
笼,籠
筑,築
筛,篩
筝,箏
筹,籌
签,簽
简,簡
箩,籮
箪,簞
箫,簫
篑,簣
篓,簍
篮,籃
篱,籬
籁,籟
类,類
粤,粵
粪,糞
粮,糧
紧,緊
纠,糾
红,紅
纣,紂
纤,纖
纥,紇
约,約
级,級
纪,紀
纫,紉
纬,緯
纭,紜
纯,純
纰,紕
纱,紗
纲,綱
纳,納
纵,縱
纶,綸
纷,紛
纸,紙
纹,紋
纺,紡
纽,紐
练,練
组,組
绅,紳
细,細
织,織
终,終
绊,絆
绋,紼
绌,絀
绍,紹
绎,繹
经,經
绑,綁
绒,絨
结,結
绕,繞
绘,繪
给,給
绚,絢
络,絡
绝,絕
绞,絞
统,統
绢,絹
绣,繡
绥,綏
继,繼
绩,績
绪,緒
绫,綾
续,續
绮,綺
绰,綽
绳,繩
维,維
绵,綿
绷,繃
绸,綢
综,綜
绽,綻
绾,綰
绿,綠
缀,綴
缁,緇
缄,緘
缅,緬
缆,纜
缉,緝
缍,綞
缎,緞
缓,緩
缔,締
缕,縷
编,編
缘,緣
缚,縛
缝,縫
缠,纏
缢,縊
缣,縑
缤,繽
缧,縲
缨,纓
缩,縮
缪,繆
缫,繅
缭,繚
缮,繕
缰,繮
网,網
罗,羅
罚,罰
罢,罷
羁,羈
羡,羨
翘,翹
耸,聳
耻,恥
聂,聶
聋,聾
职,職
联,聯
聪,聰
肃,肅
肠,腸
肤,膚
肮,骯
肾,腎
肿,腫
胀,脹
胁,脅
胆,膽
胜,勝
胧,朧
胪,臚
胶,膠
脉,脈
脍,膾
脏,髒
脐,臍
脑,腦
脓,膿
脚,腳
脱,脫
脸,臉
腊,臘
腌,醃
腻,膩
腾,騰
膑,臏
膻,羶
舆,輿
舍,捨
舰,艦
舱,艙
艰,艱
艳,艷
艺,藝
节,節
芈,羋
芜,蕪
芦,蘆
苇,葦
苍,蒼
苎,苧
苏,蘇
苹,蘋
范,範
茎,莖
茧,繭
荆,荊
荐,薦
荚,莢
荡,蕩
荣,榮
荤,葷
荦,犖
荪,蓀
荫,蔭
药,藥
莅,蒞
莱,萊
莲,蓮
莴,萵
获,獲
莹,瑩
莺,鶯
萝,蘿
萤,螢
营,營
萦,縈
萧,蕭
萨,薩
葱,蔥
蒋,蔣
蓝,藍
蓦,驀
蔷,薔
蔺,藺
蔼,藹
蕴,蘊
薮,藪
藓,蘚
虏,虜
虑,慮
虚,虛
虫,蟲
虱,蝨
虽,雖
虾,蝦
蚀,蝕
蚁,蟻
蚂,螞
蚕,蠶
蚝,蠔
蛊,蠱
蛎,蠣
蛮,蠻
蛲,蟯
蜕,蛻
蜗,蝸
蜡,蠟
蝇,蠅
蝈,蟈
蝉,蟬
蝎,蠍
蝼,螻
衅,釁
衔,銜
补,補
衬,襯
衮,袞
袄,襖
袅,裊
袜,襪
